"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Отправка заявки с пустым полем номера телефона","10241","Отправка заявки с без номера телефона","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testPhoneIsEmpty"
"Неуспешная отправка - Пустое поле даты","5463","Пустое поле  даты","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testDateFieldIsEmpty"
"Короткий номер телефона","10797","Короткий номер телефона","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testPhoneIsShort"
"Отправка заявки с  именем из более 30 символов","10624","Отправка заявки с длинным именем","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameToLong"
"Отправка заявки с именем с дефисом","6803","Отправка заявки с именем с дефисом","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameWithHyphen"
"Успешная отправка с валидными данными","6740","Отправка заявки с валидными данными","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","successBooking"
"Буквы в номере телефона","3175","Буквы в номере телефона","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testPhoneIsABC"
"Отправка заявки с спецсимволами в имени","9629","Отправка заявки с спецсимволами в имени","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameWithSpecsymbols"
"Спецсимволы в номере телефона","3197","Спецсимволы в номере телефона","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testPhoneIsSpecsymbols"
"Отправка заявки с именем на латинице","6449","Отправка заявки с именем на латинице","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testLatinName"
"Неуспешная попытка отправки заявки без имени клиента","10835","Отправка заявки с пустым полем имени","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testEmptyNameField"
"Отправка заявки с коротким именем из двух букв","7364","Отправка заявки с коротким именем","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameTwoSymbols"
"Более 10 цифр в номере телефона","5282","Длинный номер телефона","","2026-05-13","passed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testPhoneIsLong"
"Неуспешная отправка - Выбор даты из прошлого","10438","Выбор даты в прошлом","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","invalidDateSelection"
"Неуспешная отправка - Отсутствие согласия","11331","Отсутствие согласия на обработку данных","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNoCheckBoxSelection"
"Отправка заявки с именем из пробелов","10522","Отправка заявки с именем из пробелов","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameSpace"
"Отправка заявки с цифрами в имени","9760","Отправка заявки с цифрами в имени","","2026-05-13","failed","2026-05-13","","test.BookingFormTest","test.BookingFormTest","testNameWithNumbers"
